;charada
1182;Uma cantora sentou em um limão, qual o nome dela? Wanessa Cuamargo.
1183;Qual a semelhança do O.B com o Barack Obama? Os dois ficam num lugar que todo homem gostaria de estar.
1184;Por que o boi subiu o morro? Porque não tem como passar por baixo.
1185;Qual a semelhança entre o Verbo e o Buzz Lightyear? Vão ao infinitivo e além!
1186;Por que o bombeiro não gosta de andar? Porque ele so-corre.
1187;Cida esqueceu um sapato de salto alto na casa da cumpade Maria. Qual o nome do filme? O Salto da Cumpadi Cida.
1188;Por que o filho do eletricista quer entrar pra Polícia? Pra fazer parte do Batalhão de Choque.
1189;O que o pobre tem, o rico necessita, e os  mortos comem? Nada.
1190;O que é que são três, parecem dois, mas só se vê um? Uma grávida de gêmeos.
1191;Por que que o canibal não come palhaço? Porque ele tem um gosto engraçado.
1192;Qual o remédio que se dá para uma bexiga doente? Ar comprimido.
1193;O que a merda disse para o cu? Não adianta piscar que eu não volto.
1194;O que o dente pai falou pra dente mãe sobre o dente filho? É a cárie do pai.
1195;O que um etanol disse para o outro? Eita nóis!
1196;"Por que o ""i"" estava andando? Porque ele é um ""i""móvel."
1197;Numa luta entre fita isolante e a fita crepe quem ganha? A fita isolante, porque ela é faixa preta.
1198;Qual cidade espanhola tem um cômodo todo torto? Salamanca.
1199;Encontraram um político honesto. Qual o nome do filme? Ah Vá, Tá!
1200;O que um dedo do pé disse para o outro? Não olhe agora, mas eu acho que tem um calcanhar nos seguindo.
1201;O que é um pontinho preto na árvore usando um chapéu, uma mascara, uma espada e uma capa? Um beZorro.
1202;Qual o animal que dorme de joelhos? Todos. Eles não pode tirar os joelhos parar dormir.
1203;O que são oito pontinhos vermelhos piscando alternadamente? Uma aranha com tênis de luzinhas!
1204;Qual a diferença do viagra pro salário mínimo? Com o viagra você fica duro por um dia, com o salário mínimo fica duro o mês inteiro.
1205;O que o feijão disse para outro feijão? Você é fei Jão.
1206;Qual a diferença do pingulim para o chocolate? Quando esquenta o chocolate amolece e o pingulim endurece.
1207;O que é um pontinho amarelo no palco? Elba Ramilho.
1208;Saí na rua dizendo que sou gay e que queimo a rosca. Qual o nome do filme? Se Eu Fosse Você.
1209;Qual é o nome da peça de roupa que os anões mais usam? Bermiuda.
1210;O que a foca filho falou a foca mãe? Motherfoca.
1211;Qual é a diferença entre a cobra e a sogra? Nem todas as cobras são venenosas.
1212;O que Deus dá duas vezes, e se alguém quiser mais, terá que mandar fazer? Os dentes.
1213;O que mesmo sendo seu é mais usado pelos outros? Seu nome.
1214;O que o 2 disse pro 1000000? Você é grande, mas não é 2!
1215;Qual a pior coisa, que pode acontecer com um morcego depois que ele dorme? Diarreia.
1216;Qual é o ator que quando peida faz eco? Francisco Cuoco.
1217;O que o Vegeta disse quando foi comer um abacate? Maldito Ka-caroço!
1218;Qual é o filme preferido dos trabalhadores na quinta-feira? O Dia Depois de Amanhã.
1219;Qual é a rede social dos vegetarianos? Alfacebook.
1220;Qual a diferença entre a fotografia e o Sol? A fotografia se tira e o Sol se põe.
1221;Como se chama aquele vampiro que ajuda a melhorar a ventilação dos computadores? O Edward Cooler.
1222;Um casal de japoneses tinham 20 filhos. Qual é o nome do casal? Kissaco e Kioco.
1223;O que o Batman faz no banheiro com uma revista Playboy? Bat-punheta.
1224;O que um boné disse para vários bonés? Muito bom né?
1225;A família pegou estrada e, no meio da viagem, o caçula vomitou todo o carro. Qual o nome do filme? Esqueceram Dra-min.
1226;O que cresce quando ela pega com as mãos, passa por entre os seios e depois se enfia num buraco? O cinto de segurança.
1227;Por que dois oculistas discutem tanto? Porque querem defender seu ponto de vista.
1228;Por que o elefante é cinza, grande e enrugado? Porque se ele fosse branco, pequeno e liso seria uma aspirina.
1229;O que são mil epilépticos numa boate? Festa da espuma!
1230;O que o número zero disse pro numero oito? Mas que bela cinturinha!
1231;Quem é mais velho, a Lua ou o Sol? A Lua, porque ela pode sair de noite.
1232;Justin Bieber casado com a Ana Carolina e a Maria Gadú. Qual o nome no filme? Dona Flor e seus Dois Maridos.
1233;O que os presidiários comemoram no ano novo? Rebellion.
1234;Qual é a forma geométrica de uma onça morta? Ela é uma ex-fera.
1235;Justin Bieber vai ao shopping fazer compras e decide assistir Harry Potter. Qual o nome do filme? Barbie, Moda e Magia.
1236;O que diz um ouriço quando se encontra com um cacto? É você mamãe?
1237;Como descobrir se um oriental é chinês ou não? Mostre um eletrônico pra ele, se ele fizer outro igual e mais barato, é chinês.
1238;Justin Bieber decidiu saltar de paraquedas. Qual o nome da música? Garota Radical.
1239;Por que o Lobo Mau ficou com dor de barriga? Porque ele comeu a Chapeuzinho Verde.
1240;O certo é robar ou roubar? O certo mesmo é trabalhar!
1241;Quase todas as frutas foram acampar na montanha. Por que o Mamão não foi? Porque o Mamão foi Papaia.
1242;Qual o santo protetor dos banheiros? O São Nitário.
1243;Qual é a bebida mais romântica? O Milk Shakespeare.
1244;Qual é o Cavaleiro do Zodíaco que vende roupas? C&A.
1245;Qual a marca de perfume que estraga os dentes? O Boticárie.
1246;O que o Fiat disse pra o Volkswagen? Você não é Palio para mim.
1247;Qual a função do esqueleto? Invadir o Castelo de Grayskull.
1248;Por que o doce de leite não sai de casa? Porque ele é caseiro.
1249;Por que o Wolverine procura sempre se manter ocupado? Pra não ficar coçando o saco.
1250;O que o cachorro falou quando viu a cadelinha gostosa passando? Oh, meu Deus do cio!
1251;Por que o Barrichello colou um relógio no carro do Schumacher? Porque ele queria ver o tempo passar.
1252;O que é gordinho, barbudo, às vezes entra pela chaminé e faz a festa no fim do ano? Um ladrão fora de forma.
1253;O que dá a mistura de um burro com uma tartaruga? Uma loira de capacete.
1254;Quais as três ferramentas preferidas do gaúcho? Serro-tche, alica-tche e martelo... porque ele bah-tche!
1255;Por que o divórcio é tão caro? Porque vale cada centavo.
1256;Por que o pinheiro não se perde na floresta? Porque ele tem uma-pinha.
1257;O que é bullying? É aquela coisa que a gente usa para fazer caffélling.
1258;Como fazer para sua esposa gritar por uma hora depois do sexo? É só limpar seu bilau na cortina.
1259;Um frango já está pronto para comer com duas semanas de vida? Claro, senão ele morreria de fome.
1260;Qual é a coisa mais dura quando se está aprendendo a andar de bicicleta? O chão!
1261;Como é feita a execução por gás letal em Portugal? Eles jogam um botijão de gás na cabeça do condenado.
1262;O que um cupim disse para o outro? Me dá um cupim d'água.
1263;Por que existe sogra? Porque ao contrário de Deus, o Satanás não pode estar em todos os lugares ao mesmo tempo!
1264;O que ao colocar na boca e fazer movimentos uniformes, no final se cospe uma coisa branca? Pasta de dente... O que mais poderia ser?
1265;Que ator a namorada do Damon Hill chama quando eles estão transando? Matt Damon.
1266;"int x = 10; int y = 10; print (x + y); Qual o nome do filme? O Código dá 20."
1267;Qual é o sujeito da frase proibido estacionar? Sujeito a guicho.
1268;Qual é a palavra de 4 sílabas e 26 letras? Alfabeto.
1269;Você já soube do homem que morreu de vinho branco? Ele foi atravessar a rua e veio um carro vermelho... ele desviou aí vinho branco!
1270;Se você joga o Serra e a Dilma de cima de um penhasco quem chegará primeiro ao chão? Quem se importa?
1271;Qual é a única piada que não pode ser contada pra um viado? Não posso contar pra você.
1272;Por que a cobra agora quer ser escova? Porque ela cansou de ser pente!
1273;Qual era o problema do decorador quando ele procurou um médico? De-coração.
1274;Por que abobrinha só dá no mato? Porque ela não conhece motel.
1275;Qual a diferença entre o zíper e o elevador? O zíper sobe para fechar e o elevador fecha para subir.
1276;A filha convida a mãe para morar com ela e o marido. Qual é o nome do filme? Como Perder um Homem em 10 Dias.
1277;Por que viado tem memória fraca? Não sabe? Pô, já esqueceu?
1278;O que vem escrito na sola dos sapatos em Portugal? Este lado pra baixo!
1279;Por que a psicanálise é mais rápida para os homens? Porque quando dizem para ele voltar à infância, ele já está lá!
1280;Qual remédio os gatos usam quando se machucam? Merthiomia.
1281;Qual a diferença entre um supositório e um abacaxi? Se não sabe, então fique esperto!
1282;O que o elefante disse pro homem nu? Mas você consegue comer amendoim com isso?
1283;O que o Chaves perguntou para um senhor que acabou de sair de uma balada às sete da manhã? O Senhor Madruga?
1284;Qual é a diferença entre a toalha e o papel higiênico? Não sabe? Ah, então foi você né?
1285;Como um matemático come um X-Burger? Ele começa pelo pão e pelo hambúrguer, só pra poder isolar o X!
1286;Você conhece a piada do viajante? Quando ele voltar eu conto!
1287;Como funciona o zoom nas TVs de Portugal? Você aperta o botão e o sofá vai pra frente.
1288;Qual é o menor ninho do mundo? É a cueca, porque só cabe um pinto.
1289;O que o instrutor da escola de kamikazes disse para os alunos? Prestem atenção que vou fazer só uma vez!
1290;Qual é a maior galinha do mundo? O Bin Laden. Ele chocou o mundo inteiro.
1291;O que um cachorro machucado falou para a cachorra na frente da farmácia? Mete ou late!
1292;Quem já ouviu a piada do porco? Nem vai ouvir, porco não pia!
1293;O que há por trás de um homem inteligente? Uma boa ventriloquista.
1294;Qual é a menor lagoa do mundo? A calcinha, pois só cabe uma perereca!
1295;O que é que todas as mães têm, sem ele não tem pão, some no inverno e aparece no verão? O til.
1296;Como poderia ser definida a invenção do relógio? Uma invenção que veio na hora certa!
1297;Como fazer pra um passarinho dar risada? Jogue ele na parede que ele racha o bico.
1298;Por que a plantinha não pode ir no médico de madrugada? Porque de madrugada só tem médico de plantão.
1299;Qual é a bunda mais virgem do mundo? Não sabe? Porra, você não confia nem na sua?
1300;O que é um pontinho vermelho e azul na geladeira? Uma lata de Red Blue.
1301;O que é um pontinho vermelho na cabeça de uma pessoa? Uma piolha menstruada.
1302;Por que o policial não gosta de sabão em pó? Porque ele prefere deter-gente.
1303;Por que o elefante não consegue tirar carta de motorista? Porque ele só dá trombada.
1304;O que é pequeno como um rato, mas cuida da casa como um leão? O cadeado.
1305;Qual a diferença entre um sapo e um príncipe? As cinco cervejas que a princesa tomou.
1306;Como é a camisinha da Sadia? Ela apita quando o peru está assado!
1307;Por que os elefantes tem trombas? Porque se não tivessem seriam capivaras.
1308;O que é um pontinho fofinho, bonitinho e todo riscado de vermelho? Um bebê brincando com um gillette.
1309;Por que a Pantera Cor-de-Rosa anda com o rabo levantado? Pra dá, pra dá, pra dá, pra dá, pra dá, pra dá, pra daaaaaá...
1310;Qual a diferença entre o tatu e a baiana? O tatu faz o buraco e a baiana vatapá!
1311;Qual a diferença entre o  IBGE e o PCC? O IBGE pode estimar quantas pessoas irão morrer este ano, o PCC pode dar os nomes.
1312;Onde é que o boi consegue passar, mas o mosquito fica preso? Na teia de aranha.
1313;Qual é o contrário de fumo? Vortemo.
1314;Qual é o meio de transporte mais produzido e utilizado no Egito? Tapete.
1315;O que é um ponto preto e triste no sangue? EMOglobina.
1316;Qual é o contrário de volátil? Vem cá sobrinho.
1317;Adriano, Vágner Love e Bruno em  um carro. Quem dirige? A polícia.
1318;Qual é a bebida que se bebe devagar, devagar, devagarinho? Martini da Vila.
1319;Por que as rodas do trem são de ferro? Porque se fossem de borracha apagariam a linha.
1320;Como é conhecida a profissão do médico ginecologista em Portugal? Espião da casa do caralho.
1321;O que o Lombardi falou quando chegou no céu? Silvio Santos vem aí...
1322;O que é colorido e faz um barulho muito irritante? Restart.
1323;Como a patricinha sai do motel? Toda metidinha.
1324;Por que o Maradona demitiu a empregada dele? Por que ela tirou todo o pó!
1325;Na Turma da Mônica, quem fala errado a Mônica ou o Cebolinha? A Mônica, porque o Cebolinha fala elado.
1326;O que é que é bonitinho, risca o vidro e chora? Um bebê dentro do microondas.
1327;"Antigamente farmácia era escrito com ""Ph"" e hoje como que se escreve? Com ""H"", H-o-j-e."
1328;Qual a diferença entre o Robocop e o Frankenstein? É que o Frankenstein foi operado pelo SUS.
1329;De que lado o cão tem mais pelos? Do lado de fora.
1330;O que jamais deve ser dito a uma pessoa anoréxica? O que não mata engorda!
1331;O que é que tem duas asas mas não voa, dois pés mas não caminha, dois olhos mas não enxerga? Um pássaro morto!
1332;O Pinto e a Pinta foram para o motel, quem pagou a conta? A Pinta, porque o Pinto estava duro.
1333;O que é que tem quatro patas mas não anda? Um cachorro tetraplégico.
1334;Qual é o sonho da cobra? Ser pente.
1335;Por que restaurante português não dá lucro? Porque fecha para o almoço.
1336;Quantas piadas de português existem? Duas. As outras são pura verdade.
1337;Qual o órgão do homem que, devidamente estimulado, é capaz de aumentar mais de sete vezes de tamanho? A pupila.
1338;Por que os sapos só andam pulando? Porque nasceram sem embreagem.
1339;"O monstro fala pra monstra: ""Vamos fazer um monstrinho?"" O que ela respondeu? Não posso, estou monstruada!"
1340;Qual diferença entre um termômetro retal e um termômetro oral? O sabor.
1341;Com o que, de preferência, a economia de um país rico faz a cama? Com bons lençóis de petróleo.
1342;Por que é que o papel higiênico em Portugal tem um metro a mais? Por causa das instruções.
1343;O que o MMC foi fazer na escada? Esperar o MDC.
1344;Um surfista foi atacado por um tubarão e perdeu os dois pés. Qual o nome do filme? Os péstinha.
1345;Qual o melhor remédio pra tosse? Laxante. Quero ver você ter coragem de tossir depois de ter tomado uma boa dose.
1346;Que horas são quando você se acha bonito? Hora de se ver no espelho.
1347;Por que um homem tem dois ovos, e não três? Porque um chocou e virou pinto.
1348;Se uma criança ganha 5 reais do pai, e depois mais 5 reais da mãe, ela fica com...? ...tente.
1349;Em um carro há quatro romanos e um inglês. Qual o nome da motorista? IVone.
1350;Por que Adão não tinha sogra? Porque ele morava no Paraíso.
1351;Qual a diferença entre o Sonho de Valsa e o Rebolation? O Sonho de Valsa é bombom e o Rebolation é bom bom bom!
1352;Qual a diferença entre o avião, o louco e o Ayrton Senna? O avião é TAM, o louco é TAM TAM e o Ayrton Senna é TAM TAM TAM...TAM TAM TAM...
1353;O que é um pontinho preto branco, preto branco, preto branco, vermelho, vermelho, vermelho? Uma freira rolando a escada.
1354;O que é um pontinho branco no céu? Um urubu que quase foi atropelado por um avião.
1355;O que o Exaltasamba foi fazer na biblioteca? Lê lê lê lê lê lê lê.
1356;Qual é a peça do carro que é feita só no Egito? Os Faraóis.
1357;Qual o animal que pula mais alto que um prédio? Todos. Prédio não pula.
1358;Como os portugueses descobriram o pau-brasil? Levantando a tanguinha dos índios.
1359;Qual é a diferença entre a tartaruga, o navio e a família? A tartaruga tem casco em cima, o navio tem o casco em baixo. E a família? Vai bem obrigado!
1360;Como se chama um animal de duas corcovas encontrado no Polo Norte? Um camelo desorientado.
1361;Por que os galos se apressam a cantar logo de manhã cedo? Para poder dizer algumas coisas antes das galinhas acordarem.
1362;Sabe como fazer um idiota esperar 24 horas? Amanhã eu te conto!
1363;Por que os filhos do Bin Laden são felizes? Porque o pai Osama.
1364;O que é pior do que encontrar um bebê em uma lata de lixo? Encontrar o mesmo bebê em duas latas de lixo.
1365;Qual é a diferença entre a puta e o sábio? Pelo sábio, passam muitas coisas pela cabeça, e pela puta, passam muitas cabeças pela coisa.
1366;Qual é a definição de fazer amor? Uma coisa que as mulheres fazem enquanto os homens estão trepando.
1367;O que é um ponto na quadra de vôlei? É quando a bola toca na quadra adversária.
1368;O que o japonês faz quando tem ereção? Vota.
1369;O que é um pontinho amarelo na piscina? César Cyellow.
1370;Qual a diferença entre um boneco de neve e uma boneca de neve? As bolas de neve.
1371;Você conhece a piada do fotógrafo? Ainda não foi revelada.
1372;Qual é a religião dos cachorros? Cão-domblé.
1373;O que é o que é, suas costas em meu peito, minha mão na sua testa, é em cima do seu buraco que eu faço a minha festa? Violão.
1374;Como se chama o japonês que roubou o banco? Ta-ka Grana Na Kazaca.
1375;Qual o resultado do cruzamento entre um japonês com um pavão? Um espanador de cabo curto.
1376;Qual a diferença entre homens e porcos? Porcos não viram homens quando bebem.
1377;Por que são necessários milhões de espermatozoides para fertilizar um único óvulo? Porque os espermatozoides são masculinos e se negam a perguntar o caminho.
1378;Qual a diferença entre um menino de 4 anos e um velho de 70? O menino acha que o seu bingulinho é só para fazer xixi. O velho tem certeza.
1379;O que é um pontinho azul no meio de um mapa? Bluemenau.
1380;O que é que na cara é enfeite, no fogo é gostoso? Costeleta.
1381;Se o casamento foi feito no céu, então o que foi feito no inferno? Os dias depois do casamento.
1382;Qual a diferença do gato para papel higiênico? Passe os dois no rabo, o que arranhar é o gato.
1383;Por que míopes não podem ir ao zoológico? Porque eles usam lente divergente, não de ver bicho.
1384;Por que o urso se dissolveu quando caiu na água? Porque ele era polar.
1385;"O que todo hipocondríaco gostaria de ter escrito no testamento? ""Eu não disse que estava doente?"""
1386;Qual a diferença entre um cachorro atropelado e um político atropelado? Antes do cachorro, há marcas de freada.
1387;Por que Juan Domingo Perón não teve filhos? Porque sua mulher Evita.
1388;Por que Moisés ficou andando 40 anos no deserto com o povo de Israel? Porque um homem nunca pergunta o caminho.
1389;O que você faz quando se machuca? Compra um Citroën Quisara.
1390;Qual a diferença entre Michael Jackson e um saco de supermercado? Um é feito de plástico e é perigoso para crianças, o outro serve para a gente carregar as compras.
1391;Lula foi contratado para ser o técnico de um time de futebol. Qual o nome do filme? Onze Homens e Um Sem Dedo.
1392;Por que Hitler não tinha espinhas? Porque ele passava AcNazi.
1393;Qual é a diferença entre a panela e o penico? Se você não sabe, nunca me convide para almoçar na sua casa.
1394;O Hulk sentou numa fogueira. Qual o nome do filme? Tomates Verdes Fritos.
1395;O que se deve atirar a um argentino que está se afogando? O resto da família.
1396;Por que a SONY virou pagodeira? Porque eles são Inimigos da HP.
1397;O que é que o Arnold Schwarzenegger é grande, o Michael J. Fox é pequeno, o Clodovil tinha mas fingia que não, a Madonna não tem, o Papa tem mas não usa, o do Jânio ficava pendurado e o do Ademar era mole? O sobrenome.
1398;O que pode ser pior do que cair um raio na nossa cabeça? Cair um diâmetro.
1399;Qual é a diferença entre os argentinos e os terroristas? Os terroristas têm simpatizantes.
1400;Por que algumas pessoas usam óculos vermelho? Pra vermelhor.
1401;Qual é o site do bezerro? www.bezerro.com.beeeeeeeeeeerrrrrr
1402;Qual o animal mais antigo do mundo? A zebra, porque ainda é preto e branco.
1403;O que é Texaco? É ter paxiênxia.
1404;Seu cachorro está latindo no quintal e sua esposa gritando no jardim, quem você deixa entrar primeiro? O cachorro é claro. Ele vai calar a boca assim que entrar.
1405;O que o rato disse quando viu o morcego? Anjos existem!
1406;Qual o jogador que sempre te convida pra festas? Petconvite.
1407;O que é o que é um flamenguista no polo norte? É um flagelado.
1408;Por que o português não toma banho na primavera e no outono? Porque no chuveiro dele só tem a chave Inverno/Verão.
1409;Porque os portugueses não usam queijo ralado no macarrão parafuso? Porque farinha de rosca combina mais.
1410;O que uma galinha falou para a outra na hora de fazer o café? Po-pô-pó?
1411;Inri Cristo vai para os Estados Unidos. Qual o nome do filme? American Paaaaai.
1412;O que a Xuxa foi fazer no bar? Beber caSasha.
1413;O que é pior do que encontrar uma barata na sua comida? Encontrar apenas meia barata.
1414;Em quantas partes se divide o crânio? Depende da cacetada.
1415;Qual a diferença entre um ventilador quebrado e uma cadeira? O ventilador quebrado noventa e a cadeira sesenta.
1416;Por que o Super Mario foi ao psiquiatra? Porque estava em uma fase muito difícil.
1417;Como é que se chama a revista Veja no interior? Óia.
1418;Como Pinóquio descobriu que era de madeira? Foi bater uma punheta e pegou fogo.
1419;Por que a vaca foi para o espaço? Para se encontrar com o vácuo.
1420;Qual é a parte do corpo que cheira bacalhau? O nariz.
1421;Qual é o fim da picada? Quando o mosquito vai embora.
1422;Por que as surdas-mudas se masturbam apenas com uma mão? Porque com a outra elas gemem.
1423;Qual é o site do cavalo? www.cavalo.com.com.com.com.com...
1424;Qual o animal preferido dos vampiros? A girafa, porque ele adora um pescoço.
1425;O que é  um pontinho preto e perigoso? Uma jabuticaba com uma metralhadora.
1426;O que é o que é, em um ponto eu começo, em um ponto hei de acabar, mesmo que diga meu nome inteiro, só metade dirá? Uma meia.
1427;Qual o estado mais engraçado do Brasil? RS.
1428;Qual o significado da sigla VIAGRA? Vaginas Insatisfeitas Agradecem Gentilmente Remédio Americano.
1429;"Por que os portugueses usam somente uma partição da sua agenda de telefones? É a da letra ""T"". Escrevem: Telefone do Joaquim, Telefone do Manoel, Telefone do Pereira e etc."
1430;O que Papai Noel responde quando uma criança pergunta se ele roe unhas? Rou, rou, rou!
1431;O Batman vestiu o seu melhor bat-vestido e calçou os melhores bat-sapatos. Onde é que ele foi? A um bat-zado.
1432;Como o Batman faz para que abram a bat-caverna? Ele bat-palma.
1433;Como se chama um pato que não se dá com os outros patos? Antipático.
1434;Um veterinário coloca uma lupa na vasilha de ração do cachorro. Qual e o nome do filme? Com ração vai lente.
1435;O que é que quem não tem não quer ter, e quem tem não quer perder? Causa na justiça.
1436;Somos todos irmãos e moramos na mesma rua, quando um erra a sua casa, todos outros erram a sua. Quem somos? Os botões da camisa.
1437;Qual a diferença entre catástrofe e tragédia? Catástrofe é quando a sua mulher vai com a família fazer um cruzeiro pelo Atlântico e o navio afunda. Tragédia é quando você fica sabendo que o único sobrevivente foi a sua sogra!
1438;O que é que tem rabo de porco, mas não é porco. Pé de porco mas não é porco. Costela de porco, mas não é porco? Feijoada.
1439;Como se chama um japonês com o pênis grande? Kasoraro.
1440;Qual a diferença entre um advogado e uma cebola? Você chora quando mete a faca numa cebola.
1441;O que é um pontinho colorido no cachorro? Uma pulga pulando carnaval.
1442;O que o poste falou para o cachorro? Não adianta regar que eu não cresço mais.
1443;Qual a semelhança entre uma ida ao bordel e um salto de bungee jumping? Ambos custam 200 reais, o clímax é muito rápido, e quando a borracha se rompe, eis o problema.
1444;O que é mais alto que um homem e mais baixo que uma galinha? O chapéu.
1445;O que é um monte de pontinhos coloridos na praia? Um arrastão de jujubas.
1446;O que é um ponto vermelhinho em cima da torre do castelo? Uma pimenta do reino.
1447;O que é um pontinho branco no meio da grama? Uma formiga no réveillon.
1448;O que é um pontinho verde sobre um pontinho amarelo no canto da sala? É uma ervilha de castigo ajoelhada no milho.
1449;O que é um pontinho azul no gramado? É uma formiguinha de calça jeans.
1450;O que é um pontinho branco parado na esquina? É uma aspirina de programa.
1451;O que é um pontinho verde voando em altíssima velocidade? Uma super-azeitona que vai salvar um fandango suicída.
1452;O que tem barriga de pau, espinhaço de ferro e se puxa dá um berro? A espingarda.
1453;O que são vários pontinhos coloridos pulando no meio do mato? Formigas treinando para o carnaval.
1454;Tinha 4 pássaros em uma árvore e 1 foi acertado com um tiro. Quantos ficaram na árvore? Nenhum, porque os outros se assustaram e fugiram.
1455;O que o cadarço falou para o tênis? Me amarro em você.
1456;Qual é o nome da casa da ovelha? Lan house.
1457;Qual é o verdadeiro cheiro verde? O peido do Hulk.
1458;O que é que quanto mais limpo, mais sujo fica? Pano de chão.
1459;O que tem 40 pernas mais não anda, tem 20 braços mas não abraça? Eu não sei, mas deve se muito feio.
1460;"Como é que se faz um monte de velhinhas gritar ""Merda""? É só gritar ""Bingo""!"
1461;Como é que se chama um traficante armado até os dentes? É melhor chamar, no mínimo, de senhor...
1462;O que é que mira no tornozelo e acerta o nariz? O peido.
1463;O que é um pontinho vermelho na árvore? Um morango-tango.
1464;O que dá um pulo e se veste de noiva? A pipoca.
1465;As bezerras mamaram tanto na vaca que ela morreu. Qual é o nome da banda? Mamonas Assassinas.
1466;Por que o cão entrou na igreja? Ele era um cão pastor.
1467;O Chico Bento foi a feira e roubou várias goiabas. Qual é o nome do filme? E o Bento levou.
1468;Como se diz pedreiro em japonês? Takamassa Nomuro.
1469;Qual a diferença entre o pano e a galinha? A galinha bota e o pano desbota.
1470;Por que a China tem a maior população do mundo? Porque lá eles comem com dois pauzinhos.
1471;O  que o Carbono disse quando foi preso? Eu tenho direito a 4 ligações.
1472;"Qual é a mãe mais brava do mundo? A eletricidade. Mexe nos ""fios"" dela para você ver."
1473;Como os portugueses fazem os abortos? Jogam pedra na cegonha.
1474;Em que lugar a mosca é maior que o boi? No dicionário.
1475;Qual a diferença entre uma namorada e uma esposa? 30 quilos.
1476;Qual o peixe preferido dos políticos? Robá-lo.
1477;Há uma banheira cheia de água, você tem uma colher, um copo e um balde. Qual o jeito mais rápido de tirar a água da banheira? Tirando a tampa do ralo.
1478;O que é  que todo mundo põe em cima do armário? O acento agudo.
1479;O que é um pontinho preto no microscópio? Uma blacktéria.
1480;O que é um pontinho verde na praia de Copacabana? Um greengo.
1481;Quem tem pararefuso na cabeça? Franks tem.
1482;Qual é o contrário de simpatia? Não pro tio.
1483;Por que Chris Brown atravessou a rua? Porque ele Kiss Kiss Kiss.
1484;Quando o esquimó pisou no iglu, o iglu explodiu. Qual o nome do filme? O ilgu minado
1485;Um homem baixinho tinha o lábio muito grande, e quando ele caminhava seu lábio balançava. Qual o nome do filme? Anão que balança o beiço.
1486;Dois chicletes se casaram e tiveram vários chicletinhos. Qual o nome do filme? A Família Adams
1487;Quando é que um acricultor fica de cabeça para baixo? Quando planta bananeira.
1488;Qual a palavra de oito letras que, tirando duas ficam quinze? Quinzena.
1489;Que horas são quando um elefante senta em cima de seu carro? Hora de comprar um carro novo.
1490;Como é que um português mata uma minhoca? Enterra ela.
1491;Por que em Portugal não existe mais gelo? Porque a velhinha que tinha a receita morreu.
1492;Quantos portugueses  são necessários para colocar uma lâmpada? 4 portugueses, um para segurar a lâmpada e 3 para girar a escada.
1493;Porque os portugueses plantam alhos na beira da estrada? Porque ficaram sabendo que o alho faz bem para a circulação..
1494;O que começa com B no meio tem C, termina com TA e fica entre as pernas? A bicicleta.
1495;O que é um pontinho amarelo em cima do prédio? Um fandangos querendo se matar.
1496;O que é que nasce grande e morre pequeno? O cigarro.
1497;Como um homem chama o amor verdadeiro? Ereção.
1498;O que tem olho de gato, rabo de gato, orelhas de gato, mas não é gato? A gata.
1499;Duas pessoas estão em uma canoa no lago. Quando o remo cai na lagoa as pessoas começam a procurá-lo. Qual é o nome do filme? Procurando o Remo.
1500;Como se chama um cara esperto em Portugal? Turista.
1501;O que um prédio falou para a prédia? Nossa, você tem um andar maravilhoso!
1502;O que é que tem raiz mas não é planta? Cabelo
1503;O que o ponteiro grande do relógio disse para o ponteiro pequeno? Um minuto, por favor.
1504;Qual a diferença do viagra para o vinagre? O vinagre pra verdura, o viagra pra ver duro.
1505;Por que fábrica de calçados não funciona em Brasília? Por falta de couro parlamentar.
1506;Um casal de noivos conversava. Ele argumentava que só se casaria se ela fosse virgem. Ela dizia que isto era irrelevante diante do amor existente entre eles. Qual o nome do filme? Independe Se Dei.
1507;Qual é o animal que não vale mais nada? O javali.
1508;O que todo mundo tem, mas quando precisa vai ao mercado comprar? Canela.
1509;Como se chamava o homem que criou o presépio? Armando Nascimento de Jesus
1510;O que Deus falou depois de ter feito o homem? Eu posso fazer coisa melhor!
1511;Acidente aéreo mata cantor e compositor, Baiano, famoso. Qual o nome do filme? Cai Tam no Veloso
1512;Qual é o coletivo de pobre? Ônibus.
1513;Um homem caiu de uma rocha. Qual é o nome dele? Caio Rolando da Rocha.
1514;Qual o cereal preferido do vampiro? Aveia.
1515;O que dá a mistura de seu advogado e sua sogra ? O seu fim.
1516;Como se diz esmola em japonês? Taka nikel naka neka.
1517;O que a chave disse para a fechadura? Vamos dar uma voltinha?
1518;O que é que quanto mais seca, mais molhada fica? A toalha.
1519;Qual a semelhança entre a arrumação de uma casa e o samba? Em ambas mexemos com as cadeiras.
1520;O que nasce com rugas e morre lisinho? O pneu.
1521;O que mantém sempre o mesmo tamanho sem importar o peso? A balança.
1522;O que é um pontinho marrom com uma pasta em cima de uma árvore? Um mico-empresário.
1523;O que  o sal disse para a batata? É nois na frita.
1524;Qual a semelhança entre uma minissaia e uma cerca de arame? Os dois protegem a propriedade, mas não tiram a visão.
1525;O que não se come mas dá água na boca? O copo.
1526;Como um surfista morre de latinha? Ele foi no mar e latinha tubarão.
1527;Por que o pirata não pode jogar futebol? Porque ele é perna de pau.
1528;O que jogamos fora quando precisamos, e pegamos de volta quando não queremos mais? A âncora.
1529;O que é a letra A que vive saltando? Assaltante.
